item_id,name,category,url,allergens,contains_gluten,contains_dairy,contains_nuts,ingredients_summary
big-mac,Big Mac,Burgers,https://www.mcdonalds.com/us/en-us/product/big-mac.html,"Gluten, Wheat, Dairy, Milk, Egg, Soy, Sesame",True,True,False,"Big Mac Bun (Wheat, Sesame), 100% Beef Patties, Big Mac Sauce (Egg, Soy), Pasteurized Process American Cheese (Milk), Pickle Slices, Shredded Lettuce, Onions."
quarter-pounder-with-cheese,Quarter Pounder with Cheese,Burgers,https://www.mcdonalds.com/us/en-us/product/quarter-pounder-with-cheese.html,"Gluten, Wheat, Dairy, Milk, Soy, Sesame",True,True,False,"Quarter Pounder Bun (Wheat, Sesame), 100% Fresh Beef Patty, Pasteurized Process American Cheese (Milk), Ketchup, Mustard, Pickle Slices, Onions."
hamburger,Hamburger,Burgers,https://www.mcdonalds.com/us/en-us/product/hamburger.html,"Gluten, Wheat",True,False,False,"Regular Bun (Wheat), 100% Beef Patty, Ketchup, Mustard, Pickle Slices, Onions."
cheeseburger,Cheeseburger,Burgers,https://www.mcdonalds.com/us/en-us/product/cheeseburger.html,"Gluten, Wheat, Dairy, Milk, Soy",True,True,False,"Regular Bun (Wheat), 100% Beef Patty, Pasteurized Process American Cheese (Milk), Ketchup, Mustard, Pickle Slices, Onions."
double-cheeseburger,Double Cheeseburger,Burgers,https://www.mcdonalds.com/us/en-us/product/double-cheeseburger.html,"Gluten, Wheat, Dairy, Milk, Soy",True,True,False,"Regular Bun (Wheat), Two 100% Beef Patties, Pasteurized Process American Cheese (Milk), Ketchup, Mustard, Pickle Slices, Onions."
mcdouble,McDouble,Burgers,https://www.mcdonalds.com/us/en-us/product/mcdouble.html,"Gluten, Wheat, Dairy, Milk, Soy",True,True,False,"Regular Bun (Wheat), Two 100% Beef Patties, One Slice Pasteurized Process American Cheese (Milk), Ketchup, Mustard, Pickle Slices, Onions."
mcchicken,McChicken,Chicken & Fish,https://www.mcdonalds.com/us/en-us/product/mcchicken.html,"Gluten, Wheat, Egg, Soy",True,False,False,"McChicken Patty (Wheat, Soy), Regular Bun (Wheat), Shredded Lettuce, Mayonnaise (Egg)."
mcnuggets-10-piece,Chicken McNuggets (10 Piece),Chicken & Fish,https://www.mcdonalds.com/us/en-us/product/chicken-mcnuggets-10-piece.html,"Gluten, Wheat",True,False,False,"White Boneless Chicken, Water, Vegetable Oil, Enriched Bleached Flour (Wheat), Yellow Corn Flour, Spices."
mccrispy,McCrispy,Chicken & Fish,https://www.mcdonalds.com/us/en-us/product/mccrispy.html,"Gluten, Wheat",True,False,False,"Crispy Chicken Fillet (Wheat), Potato Roll (Wheat), Pickle Slices, Butter Sauce."
filet-o-fish,Filet-O-Fish,Chicken & Fish,https://www.mcdonalds.com/us/en-us/product/filet-o-fish.html,"Gluten, Wheat, Dairy, Milk, Fish, Egg, Soy",True,True,False,"Wild-Caught Pollock Patty (Fish, Wheat), Regular Bun (Wheat), Tartar Sauce (Egg), Half Slice American Cheese (Milk)."
egg-mcmuffin,Egg McMuffin,Breakfast,https://www.mcdonalds.com/us/en-us/product/egg-mcmuffin.html,"Gluten, Wheat, Dairy, Milk, Egg, Soy",True,True,False,"English Muffin (Wheat), Freshly Cracked Egg, Canadian Bacon, American Cheese (Milk), Salted Butter (Milk)."
sausage-mcmuffin,Sausage McMuffin,Breakfast,https://www.mcdonalds.com/us/en-us/product/sausage-mcmuffin.html,"Gluten, Wheat, Dairy, Milk, Soy",True,True,False,"English Muffin (Wheat), Sausage Patty, American Cheese (Milk), Salted Butter (Milk)."
sausage-burrito,Sausage Burrito,Breakfast,https://www.mcdonalds.com/us/en-us/product/sausage-burrito.html,"Gluten, Wheat, Dairy, Milk, Egg, Soy",True,True,False,"Flour Tortilla (Wheat), Scrambled Egg & Sausage Mix (Egg, Milk), Processed Cheese (Milk)."
hash-browns,Hash Browns,Breakfast,https://www.mcdonalds.com/us/en-us/product/hash-browns.html,"Gluten, Wheat, Dairy, Milk",True,True,False,"Potatoes, Vegetable Oil (with Natural Beef Flavor containing Wheat and Milk derivatives), Salt, Corn Flour."
fruit-maple-oatmeal,Fruit & Maple Oatmeal,Breakfast,https://www.mcdonalds.com/us/en-us/product/fruit-and-maple-oatmeal.html,"Gluten, Oats",True,False,False,"Whole Grain Oats, Diced Apples, Cranberry Raisin Blend, Light Cream (Milk optional)."
